Date,Open,High,Low,Close,Volume
2021-02-08,120239,120844,119140,119516,8619100
2021-02-09,119696,119975,118246,119429,7913500
2021-02-10,119472,119738,117970,118430,8644600
2021-02-11,118440,120283,118440,119235,7567400
2021-02-12,119300,119763,118163,119116,7655900
2021-02-17,null,null,null,,
2021-02-18,120361,120845,118515,119140,10720600
2021-02-19,119199,119250,117867,118748,10402800
2021-02-22,118388,118388,111650,112668,21768700
2021-02-23,112676,115380,112667,115227,15174900
2021-02-24,115229,116208,114668,115668,11399300
2021-02-25,115668,116506,111764,112256,12466500
2021-02-26,112260,113466,109827,110035,14618500
2021-03-01,110036,112445,110036,110335,11239900
2021-03-02,110328,112428,107319,111540,14823200
2021-03-03,111529,112398,107466,111184,15144300
2021-03-04,111191,114433,111163,112690,14221600
2021-03-05,112690,115504,112504,115202,13254800
2021-03-08,115202,115202,110268,110612,0
2021-03-09,110611,112525,109343,111331,12135300
2021-03-10,111331,112928,109999,112776,12511800
2021-03-11,112782,115127,112776,114984,12092100
2021-03-12,114984,114984,113253,114160,8110700
2021-03-15,114093,114903,113635,114851,8224700
2021-03-16,114845,114974,113370,114019,78000
2021-03-17,114018,116736,113428,116549,94300
2021-03-18,116549,116751,114302,114835,9920100
2021-03-19,114837,116446,114610,116222,12341800
2021-03-22,116222,116225,113620,114979,8160600
2021-03-23,114977,115599,113062,113262,8301500
2021-03-24,113272,114823,112064,112064,9834000
2021-03-25,112065,114024,110927,113750,10306500
2021-03-26,113750,115416,113305,114781,8659500
2021-03-29,114776,115553,114096,115419,7463300
2021-03-30,115414,117090,114999,116850,8141600
2021-03-31,116850,117249,115932,116634,10659200
2021-04-01,116644,117088,114991,115253,8009200
2021-04-05,115262,117668,115262,117518,7245100
2021-04-06,117519,118213,117176,117499,6800800
2021-04-07,117499,118303,116748,117624,0
2021-04-08,117624,118850,117486,118313,8778200
2021-04-09,118313,118643,117336,117670,7739400
2021-04-12,117661,118812,117661,118812,7000500
2021-04-13,118809,119529,118041,119297,8977600
2021-04-14,119298,120871,119298,120295,10076600
2021-04-15,120290,121409,120084,120701,7948100
2021-04-16,120701,121333,120199,121114,7945600
2021-04-19,121116,121974,120682,120934,10028100
2021-04-20,120925,121354,119841,120062,7811500
2021-04-22,120064,120995,119203,119371,8598600
2021-04-23,119372,120815,119372,120530,7615500
2021-04-26,120534,121393,119860,120595,7095300
